No,Component,Category,Description,Key Widgets,Do,Don't,Flutter Code Pattern
1,App Bar,Navigation,Top navigation bar with title and actions,AppBar / SliverAppBar,Use SliverAppBar for collapsible behavior. Add semantic title. Keep actions ≤ 3.,Don't overflow with too many action icons. Avoid hardcoding color.,"AppBar(title: Text('Title', style: theme.textTheme.titleLarge), backgroundColor: cs.surface)"
2,Bottom Navigation,Navigation,Tab bar for main sections,NavigationBar (M3) / CupertinoTabBar,Use NavigationBar (M3) with 3-5 destinations. Show selected icon variation.,Don't use BottomNavigationBar — it's deprecated in M3. Don't use more than 5 tabs.,"NavigationBar(destinations: [...], selectedIndex: idx, onDestinationSelected: (i) => ...)"
3,Card,Container,Elevated content container,Card / Container + BoxDecoration,Use M3 Card with elevation 0 + tonal fill. Round corners 12-16px.,Don't nest cards. Don't hardcode card background colors.,"Card(child: Padding(padding: EdgeInsets.all(16), child: ...))"
4,List Item,Layout,Single row in a list,ListTile,Use ListTile for standard lists. Add semantics. Support swipe-to-action with Dismissible.,Don't build custom row widgets when ListTile covers your needs.,"ListTile(leading: Icon(...), title: Text(...), trailing: Icon(Icons.chevron_right))"
5,Image Card,Media,Image with overlay text and action,Stack + Container + CachedNetworkImage,Use CachedNetworkImage. Add Hero for transitions. Include semantic label.,Don't use Image.network directly. Don't forget error/loading states.,"Stack(children: [CachedNetworkImage(...), Positioned(bottom: 0, child: title)])"
6,Search Bar,Input,Full-width search input,SearchBar (M3) / CupertinoSearchTextField,Use M3 SearchBar for Android. Use CupertinoSearchTextField for iOS. Add debounce (300ms).,Don't call API on every keystroke. Don't forget clear button.,"SearchBar(hintText: 'Search...', onChanged: (v) => _debounce(() => search(v)))"
7,Text Input,Forms,Single-line or multi-line text entry,TextFormField,Use Form + GlobalKey<FormState>. Add validator. Set keyboardType and textInputAction.,Don't use TextField outside Form if validation needed. Don't hardcode colors.,"TextFormField(decoration: InputDecoration(labelText: 'Email'), validator: ..., keyboardType: emailAddress)"
8,Button – Primary,Action,Main call-to-action button,FilledButton (M3),Use FilledButton for primary actions. Keep label short (2-3 words). Show loading state.,Don't use ElevatedButton as primary in M3. Don't show multiple primary buttons.,"FilledButton(onPressed: _isLoading ? null : _submit, child: _isLoading ? CircularProgressIndicator.adaptive() : Text('Submit'))"
9,Button – Secondary,Action,Less prominent action,OutlinedButton / TextButton (M3),Use OutlinedButton for secondary. TextButton for tertiary/destructive.,Don't make secondary buttons the same visual weight as primary.,"OutlinedButton(onPressed: () {}, child: Text('Cancel'))"
10,FAB,Action,Floating action button for primary action,FloatingActionButton (M3),One FAB per screen. Use extended FAB with label for clarity.,Don't use multiple FABs. Don't obscure content with FAB that never hides.,"FloatingActionButton.extended(icon: Icon(Icons.add), label: Text('Add'), onPressed: ...)"
11,Chip,Tag/Filter,Small compact filter or tag,Chip / FilterChip / ChoiceChip,Use Wrap to lay out chips. Use FilterChip for multiselect filters.,Don't use chips for navigation. Don't make chips too small (< 32px height).,"Wrap(spacing: 8, children: items.map((e) => FilterChip(label: Text(e), selected: ...)).toList())"
12,Dialog,Overlay,Modal alert or confirmation,AlertDialog / showDialog,Use AlertDialog for 1-2 actions. Use fullscreen dialog for complex forms.,Don't abuse dialogs for simple toasts. Don't have more than 2 actions.,"showDialog(builder: (c) => AlertDialog(title: Text('Confirm'), actions: [TextButton(...), FilledButton(...)]))"
13,Bottom Sheet,Overlay,Partial screen overlay from bottom,showModalBottomSheet / DraggableScrollableSheet,Use isScrollControlled: true. Add drag handle. Use DraggableScrollableSheet for tall sheets.,Don't put too much content in a non-scrollable sheet.,showModalBottomSheet(isScrollControlled: true builder: (c) => DraggableScrollableSheet(...))
14,Snackbar,Feedback,Brief non-blocking notification,ScaffoldMessenger.showSnackBar,Use floating snackbar (SnackBarBehavior.floating). Limit to 1-2 lines. Include action if needed.,Don't use snackbar for critical errors — use dialog instead.,"ScaffoldMessenger.of(context).showSnackBar(SnackBar(behavior: SnackBarBehavior.floating, content: Text(...)))"
15,Avatar,Identity,User or item image/initials,CircleAvatar,Show initials as fallback when image fails. Use cached image.,Don't forget fallback state when no image is available.,"CircleAvatar(radius: 24, backgroundImage: CachedNetworkImageProvider(url), child: url == null ? Text(initials) : null)"
16,Loading State,Feedback,Show progress while data loads,CircularProgressIndicator.adaptive / Shimmer,Use shimmer for list/grid loading. Use adaptive indicator for spinners.,Don't show empty space while loading. Don't block entire UI.,Shimmer.fromColors(baseColor: grey300 highlightColor: grey100 child: ListTile(...))
17,Empty State,Feedback,No data / no results illustration,Column with Icon + Text + action,Show icon + title + subtitle + action button. Use contextual empty state.,Don't show just plain text. Don't omit a recovery action.,"Center(child: Column(children: [Icon(Icons.inbox, size: 80), Text('No items'), FilledButton(...)]))"
18,Error State,Feedback,API or connectivity error,Column with Icon + Text + Retry,Show what went wrong and a retry button. Use error icon.,Don't show technical error codes to users. Don't omit retry option.,"ErrorStateWidget(icon: Icons.cloud_off, title: 'Connection error', onRetry: () => ref.refresh(provider))"
19,Badge,Indicator,Show count or status on icon,Badge (M3),Use M3 Badge. Keep count clipped at 99+. Position on icon.,Don't show badge with 0 count. Don't use for non-numeric status.,"Badge(label: Text('$count'), isLabelVisible: count > 0, child: Icon(Icons.notifications))"
20,Pull to Refresh,Gesture,Refresh list content by pulling down,RefreshIndicator.adaptive,Use .adaptive for platform-appropriate indicator. Always await the refresh future.,Don't use non-adaptive RefreshIndicator on iOS.,"RefreshIndicator.adaptive(onRefresh: () async => ref.refresh(listProvider), child: ListView.builder(...))"
